Date;PX;BUX;WIG;NIKKEI;HS;SSEC;DAX;FTSE
2010-01-04;43.0854099296177;79.9027978506578;595.803070923714;79.7394851070199;1955.35087090531;330.194018607871;6048.3;6170.4061027597
2010-01-05;43.8298196790058;81.9465427509294;601.735092864125;80.5932548664554;1988.94632064776;332.885048378263;6031.86;6133.0445888167
2010-01-06;43.9175336016402;82.4335019339482;603.821453861744;80.8761021930816;2014.25734567347;332.154777336613;6034.33;6154.0173603383
2010-01-07;43.7125521425863;81.2474287828339;591.000606428138;80.0124344569288;2007.52276210223;326.918075422627;6019.36;6143.50822587817
2010-01-08;43.9816046520467;82.4037940379404;593.94957165109;80.9712057588482;2014.17808652291;327.966423462529;6037.61;6194.53772106559
2010-01-11;45.1511912034209;86.098687664042;609.491659069068;81.5566192356403;1989.1999360943;323.950833887914;6040.5;6160.97452441873
2010-01-12;44.8092010054079;84.494071146245;599.615554140751;82.1625254890114;1988.10696253818;331.162315527548;5943.0;6128.73383860901
2010-01-13;45.2690308774075;85.2084926167454;605.983285259966;80.7023755826192;1925.77965891583;319.120087709593;5963.14;6118.37692823608
2010-01-14;46.035707429449;85.9442034405385;604.054986204178;82.0866947621915;1932.697613157;325.131445904954;5988.88;6174.28411005053
2010-01-15;45.6931437160365;84.3710644677661;604.56446941756;83.986693178342;1941.45029407546;328.559054315704;5875.97;6191.93008342319
2010-01-18;46.6684692340376;84.7573482726424;612.847092748651;83.2891889818154;1924.16411874938;329.989704068422;5918.55;6247.18590108016
2010-01-19;46.70526925304;85.0357169515563;617.676103515867;82.9409045381;1955.68446312903;333.053298867553;5976.48;6305.73029852453
2010-01-20;47.1340285824643;83.7988772816833;618.773613044343;83.4630392537893;1939.46133590881;326.680900902768;5851.53;6236.53934652554
2010-01-21;46.8147349782517;81.8226897903339;609.325440868171;84.1599039801766;1909.3643893287;329.006790817814;5746.97;6132.29885057471
2010-01-22;45.1972654012145;79.6536651716786;587.005704812521;83.1609736945426;1886.83975747865;324.21293705569;5695.32;6051.58050895812
2010-01-25;45.9305678366845;80.687771959584;594.451000639229;82.2975575387506;1873.80491044219;320.309087333216;5631.37;5996.01048672062
2010-01-26;45.3385446603058;79.2346471127406;583.991002884944;81.7455466708891;1836.56912707546;314.006260594652;5668.93;6042.48253750143
2010-01-27;45.3835254470953;78.7637902483901;581.604097235836;81.3980150853513;1830.80824697044;310.888234253177;5643.2;6016.14298068608
2010-01-28;45.2272034156755;79.4668632510136;580.501166932809;82.417616334283;1871.76405682497;313.29287433295;5540.33;5972.260909935
2010-01-29;44.8728215688518;80.5143278628066;588.844129204458;80.8405866032501;1855.07421406841;313.530096598597;5608.79;5987.53678379782
2010-02-01;45.5975446000384;80.8168785701124;590.131102509677;81.2501592356688;1873.27651620306;309.649436782819;5654.48;5998.05680973881
2010-02-02;45.2573274867297;80.8815911193339;594.82175514192;82.179793977813;1872.49383445868;308.439572451049;5709.66;6046.69527896996
2010-02-03;45.1198893329235;80.7778312717577;598.5763426821;82.0983981693364;1908.4619635292;314.660130102762;5672.09;5995.32070303584
2010-02-04;43.4609494640123;76.3582905355833;567.512413108242;82.3995862507957;1890.78571893329;316.85672576482;5533.24;5886.26732333066
2010-02-05;41.7911017758259;73.7859905144108;537.162079510703;82.1053963588864;1848.30866112129;314.475232694982;5434.34;5795.47666762096
2010-02-08;41.7609293793947;74.1150419861263;533.467348927875;81.5255181453265;1839.85865258839;314.409512077553;5484.85;5812.46433055587
2010-02-09;42.5916701789341;75.8192279411765;540.838749233599;80.4935170178282;1851.18515331226;313.923457710119;5498.26;5806.2244434348
2010-02-10;43.3736785659568;76.0821948075861;544.758133930108;81.001463295667;1865.97044002772;317.804511598666;5536.37;5833.14389634008
2010-02-11;43.1405721316518;76.4157486136784;539.468784907534;81.5380638868569;1903.62041467305;318.429557259725;5503.93;5882.05128205128
2010-02-12;42.7819404418828;76.6542443064182;551.804739619636;82.4997138886618;1921.85864370781;325.450467450964;5500.39;5917.04061672995
2010-02-15;43.4543496654104;77.0087699904193;562.435271858196;81.7946413984643;1938.48933192101;330.229121180507;5511.1;5956.0857538036
2010-02-16;43.8297218380206;77.86382494401;557.999252522736;81.792060645582;1938.3848032283;329.57789715217;5592.12;6024.23894313613
2010-02-17;44.4483011300089;79.9541778975741;573.779230575811;82.6596358970246;1925.65316878294;327.488538223691;5648.34;6072.03682393556
2010-02-18;44.3818040435459;78.8209307471052;562.579984003199;83.8255474452555;1938.2474089822;330.560467298793;5680.41;6117.99172794118
2010-02-19;44.6341936735882;78.6763361592333;561.766101440951;81.5299991946525;1894.68661606301;330.524351826793;5722.05;6100.648980986
2010-02-22;44.8388349514563;79.6341427247451;572.26148409894;83.6185077986815;1926.21822684778;322.887214165153;5688.44;6084.00591110606
2010-02-23;44.3092423948847;77.3236471460341;564.259627735939;84.0336066239143;1956.9755745763;321.792935286883;5604.07;6038.5139740968
2010-02-24;43.9721792890263;76.2427726432532;559.304713720383;83.4874754420432;1945.88011598612;326.775152727469;5615.51;6088.77492877493
2010-02-25;43.4162328899171;76.2489554446293;550.608625958022;83.7225261064147;1947.88068024483;332.361788308882;5532.33;5991.82654103758
2010-02-26;43.8467462456681;78.7988514264542;570.560229734495;83.7415646708568;1956.47262094631;329.479968476395;5598.46;5998.09566483701
2010-03-01;44.2679211815062;79.9752458712192;580.926395939086;84.2965111461009;2005.28821888065;334.449667482616;5713.51;5962.17050843719
2010-03-02;44.5129996119519;81.0440989134507;599.683245203975;84.7020218760358;1987.6506940483;332.281991674326;5776.56;6050.75302035637
